trials,full_sentence,last_word,meaningful,CoRT_descript,cloze_descript,block_num,spelling_modified,display,cloze_probability,original_dataset,CoRT_mean,CoRT_std,word_count,condition_name
0,,,,,,,,,,,,,,
1,Timothy|was|hesitant|when|he|had|to|make|a,decision,TRUE,strong non-CoRT,low cloze,0,no,trial,0.4,peele,1.25,0.5,9,hard
2,She|made|herself|a|sandwich|and|chips|for,lunch,TRUE,strong CoRT,high cloze,0,no,trial,0.9,block_baldwin,4.142857143,1.214985793,8,easy
3,"To|finish|seasoning|the|salmon,|Marge|needed",gray,FALSE,strong non-CoRT,low cloze,0,no,trial,0.32,peele,2,1.224744871,7,hard
4,The|dog|was|lonely|without|companions|and|started|to,whine,TRUE,strong CoRT,low cloze,0,no,trial,0.39,peele,4,1.224744871,9,hard
5,The|couple's|trip|was|ruined|when|it|began|to,rain,TRUE,strong non-CoRT,high cloze,0,no,trial,0.85,peele,2,0.7071067812,9,easy
6,The|crime|rate|has|gone|up|this,eat,FALSE,strong non-CoRT,high cloze,0,no,trial,0.81,block_baldwin,1.142857143,0.377964473,7,easy
7,In|the|evening|grandpa|smokes|using|his,pipe,TRUE,strong CoRT,high cloze,0,no,trial,0.96,peele,4.4,0.5477225575,7,easy
8,Karla|had|played|the|game|and|knew|how|to,win,TRUE,strong non-CoRT,high cloze,0,no,trial,0.87,peele,1.8,1.303840481,9,easy
9,Tommy|was|angry|at|his|mom|and|started|to,yell,TRUE,strong CoRT,low cloze,0,no,trial,0.45,peele,4,1.264911064,9,hard
10,The|teacher|wrote|the|problem|on|the,game,FALSE,strong CoRT,high cloze,0,no,trial,0.94,block_baldwin,4.142857143,1.463850109,7,easy
11,Everyone|on|the|cruise|gasped|and|pointed|out|the|massive,war,FALSE,strong CoRT,low cloze,0,no,trial,0.49,peele,4.8,0.4472135955,10,hard
12,When|she|lost|her|doll|the|girl|began|to,cry,TRUE,strong CoRT,high cloze,0,no,trial,0.84,peele,4.333333333,0.8164965809,9,easy
13,Sharon|majored|in|Education|to|learn|how|to,teach,TRUE,strong non-CoRT,high cloze,0,no,trial,0.95,peele,1,0,8,easy
14,The|janitor|accidentally|spilled|some|water|on|the,neat,FALSE,strong CoRT,high cloze,0,no,trial,0.88,block_baldwin,4.142857143,1.463850109,8,easy
15,The|committed|scientist|spent|hours|working|in|the,lab,TRUE,strong CoRT,high cloze,0,no,trial,0.88,peele,4,0.8164965809,8,easy
16,Andrea|watered|her|garden|with|a|small,bear,FALSE,strong CoRT,low cloze,0,no,trial,0.45,peele,4.4,0.894427191,7,hard
17,Yolanda|wants|a|great|job|so|she|can|get,rich,TRUE,strong non-CoRT,low cloze,0,no,trial,0.37,peele,1.8,1.788854382,9,hard
18,Isaac|didn't|know|what|her|behavior|could,view,FALSE,strong non-CoRT,low cloze,0,no,trial,0.48,peele,1.25,0.5,7,hard
19,Malcolm|wanted|to|tidy|the|lawn|but|had|no,mower,TRUE,strong non-CoRT,low cloze,0,no,trial,0.33,peele,1.75,0.5,9,hard
20,The|passengers|feared|capsizing|when|the|ship|began|to,rock,TRUE,strong CoRT,low cloze,0,no,trial,0.36,peele,4.2,0.8366600265,9,hard
21,The|young|woman|had|a|very|recognizable,face,TRUE,strong non-CoRT,low cloze,0,no,trial,0.44,peele,1.6,0.894427191,7,hard
22,The|diving|board|was|scary|because|it|was|so,beige,FALSE,strong non-CoRT,high cloze,0,no,trial,0.82,block_baldwin,1.857142857,1.573591585,9,easy
23,The|boxer|knew|that|tonight|he|had|to,win,TRUE,strong non-CoRT,high cloze,0,no,trial,0.86,peele,2,1,8,easy
24,Visitors|at|the|medieval|festival|drank|honey,mead,TRUE,strong CoRT,low cloze,0,no,trial,0.35,peele,4,1.154700538,7,hard
0,,,,,,,,break,,,,,,
1,The|castle|was|protected|by|its|stone,tire,FALSE,strong non-CoRT,high cloze,1,no,trial,0.86,block_baldwin,1.142857143,0.377964473,7,easy
2,"She|didn't|give|him|a|long|kiss,|just|a",water,FALSE,strong CoRT,high cloze,1,no,trial,0.87,peele,4,0,9,easy
3,All|the|professional|athlete|wanted|was|a|back,rub,TRUE,strong non-CoRT,low cloze,1,no,trial,0.38,peele,2,1,8,hard
4,"Lately,|Sam|has|felt|like|he|is|in|a",rut,TRUE,strong non-CoRT,low cloze,1,no,trial,0.43,peele,1.8,0.8366600265,9,hard
5,"Before|descending|the|canyon,|we|hiked|the",trail,TRUE,strong CoRT,low cloze,1,yes,trial,0.41,peele,4,1.154700538,7,hard
